# HXA7241
# 2009-11-20

# (physical books only)

# miscellaneous
# art
# philosophy
# science
# software
# graphics
# fiction

# title | author[, author] | publisher | year (latest) | isbn (including '-'s)

Sinclair ZX81 ROM Disassembly Part A 0000H-0F54H | Ian Logan | Melbourne House | 1981 | 0-86161-106-3
Z80-Assembly Language Programming Manual |  | Zilog | 1980 |
Programming Pearls | Jon Bentley | Addison Wesley | 1989 | 0-201-10331-1
Code Complete | Steve McConnell | Microsoft Press | 1993 | 1-55615-484-4
The Practice Of Programming | Brian W Kernighan, Rob Pike | Addison Wesley | 1999 | 0-201-61586-X
Object Oriented Software Construction | Bertrand Meyer | Prentice Hall | 1997 | 0-13-629155-4
Object-Oriented Design Heuristics | Arthur J Riel | Addison Wesley | 1999 | 0-201-63385-X
Design Patterns | Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides | Addison Wesley | 1995 | 0-201-63361-2
Pattern Hatching | John Vlissides | Addison Wesley | 1998 | 0-201-43293-5
Pattern-Oriented Software Architecture | Frank Buschmann, Regine Meunier, Hans Rohnert, Peter Sommerlad, Michael Stal | Wiley | 1996 | 0-471-95869-7
Refactoring | Martin Fowler | Addison Wesley | 1999 | 0-201-48567-2
The Unified Software Development Process | Ivar Jacobson, Grady Booch, James Rumbaugh | Addison Wesley | 1999 | 0-201-57169-2
Extreme Programming Explained | Kent Beck | Addison Wesley | 1999 | 0-201-61641-6
UML Distilled | Martin Fowler, Kendall Scott | Addison Wesley | 1997 | 0-201-32563-2
Rapid Development | Steve McConnell | Microsoft Press | 1996 | 1-55615-900-5
Software Project Survival Guide | Steve McConnell | Microsoft Press | 1998 | 1-57231-621-7
The Mythical Man-Month | Frederick P Brooks Jr | Addison Wesley | 1998 | 0-201-83595-9
Object-Oriented Software Engineering A Use Case Driven Approach | Ivar Jacobson, Magnus Christerson, Patrik Jonsson, Gunnar Overgaard | Addison Wesley | 1995 | 0-201-54435-0
Object-Oriented Analysis And Design With Applications | Grady Booch | Addison Wesley | 1995 | 0-8053-5340-2
Software Architecture In Practice | Len Bass, Paul Clements, Rick Kazman | Addison Wesley | 1999 | 0-201-19930-0
Applied Software Architecture | Christine Hofmeister, Robert Nord, Dilip Soni | Addison Wesley | 2000 | 0-201-32571-3
Introduction To The Personal Software Process | Watts S Humphrey | Addison Wesley | 1997 | 0-201-54809-7
An Introduction To Database Systems | C J Date | Addison Wesley | 1995 | 0-201-82458-2
The Practical SQL Handbook | Judith S Bowman, Sandra L Emerson, Marcy Darnovsky | Addison Wesley | 2001 | 0-201-70309-2
Learning The Unix Operating System | Jerry Peek, Grace Todino, John Strang | O'Reilly | 1998 | 1-56592-390-1
Usability Engineering | Jakob Nielsen | AP Professional | 1993 | 0-12-518406-9
Cyberarts Exploring Art & Technology | Linda Jacobson | Miller Freeman | 1992 | 0-87930-253-4
Computers As Theatre | Brenda Laurel | Addison Wesley | 1993 | 0-201-55060-1
Artificial Life An Overview | Christopher G Langton | MIT Press | 1997 | 0-262-62112-6

Computer Graphics Principles And Practice | James D Foley, Andries van Dam, Steven K Feiner, John F Hughes | Addison Wesley | 1990 | 0-201-12110-7
Principles Of Digital Image Synthesis Volume 1 | Andrew S Glassner | Morgan Kaufmann | 1995 | 1-55860-276-3
Principles Of Digital Image Synthesis Volume 2 | Andrew S Glassner | Morgan Kaufmann | 1995 | 1-55860-276-3
Realistic Image Synthesis Using Photon Mapping | Henrik Wann Jensen | A K Peters | 2001 | 1-56881-147-0
Jim Blinn's Corner Dirty Pixels | Jim Blinn | Morgan Kaufmann | 1998 | 1-55860-455-3
Jim Blinn's Corner A Trip Down The Graphics Pipeline | Jim Blinn | Morgan Kaufmann | 1996 | 1-55860-387-5
An Introduction To Ray Tracing | Andrew S Glassner | Academic Press | 1991 | 0-12-286160-4
Advanced Animation And Rendering Techniques | Alan Watt, Mark Watt | Addison Wesley | 1996 | 0-201-54412-1
Illumination And Color In Computer Generated Imagery | Roy Hall | Springer | 1989 | 0-387-96774-5
Fundamentals Of Three-Dimensional Computer Graphics | Alan Watt | Addison Wesley | 1990 | 0-201-15442-0
Wavelets For Computer Graphics | Eric J Stollnitz, Tony D DeRose, David H Salesin | Morgan Kaufmann | 1996 | 1-55860-375-1
Computational Geometry In C | Joseph O'Rourke | Cambridge | 1998 | 0-521-64976-5
Computer Graphics - Siggraph Conference Proceedings CD-ROM 1999 |  | ACM Siggraph | 1999 | 1-58113-150-X
Computer Graphics - Siggraph Conference Proceedings CD-ROM 1998 |  | ACM Siggraph | 1998 | 1-58113-039-2
Computer Graphics - Siggraph Conference Proceedings CD-ROM 1997 |  | ACM Siggraph | 1997 | 1-89791-840-1
Computer Graphics - Siggraph Conference Proceedings CD-ROM 1996 |  | ACM Siggraph | 1996 | 1-89791-840-1
Computer Graphics - Siggraph Conference Proceedings CD-ROM 1995 |  | ACM Siggraph | 1995 | 1-89791-763-4
Computer Graphics - Siggraph Conference Proceedings CD-ROM 1994 |  | ACM Siggraph | 1994 | 1-89791-669-7
Computer Graphics - Siggraph Conference Proceedings CD-ROM 1993 |  | ACM Siggraph | 1993 | 1-89791-602-4

The Odyssey | Homer, Walter Shewring | Oxford | 1990 | 0-19-281542-3
The Iliad | Homer, Robert Fitzgerald | Oxford | 1988 | 0-19-281594-6
The Idylls | Theocritus, Robert Wells | Penguin | 1989 | 0-14-044523-4
Prometheus Bound, The Suppliants, Seven Against Thebes, The Persians | Aeschylus, Philip Vellacott | Penguin | 1961 | 0-14-044112-3
Electra, Ajax, Women Of Trachis, Philoctetes | Sophocles, E F Watling | Penguin | 1953 | 0-14-044028-3
Antigone, Oedipus The King, Oedipus At Colonus | Sophocles, Robert Fagles | Penguin | 1987 | 0-14-044425-4
Antigone, Oedipus The King, Oedipus At Colonus | Sophocles, Robert Fagles | Penguin | 1987 | 0-14-044425-4
Ion, The Women Of Troy, Helen, The Bacchae | Euripides, Philip Vellacott | Penguin | 1987 | 0-14-044044-5
Alcestis, Hippolytus, Iphigenia In Tauris | Euripides, Philip Vellacott | Penguin | 1974 | 0-14-044031-3
The Aeneid | Virgil, Robert Fitzgerald | Penguin | 1985 | 0-14-044051-X
Theogony, Works And Days, Elegies | Hesiod, Theognis, Dorothea Wender | Penguin | 1973 | 014-044283-9
Metamorphoses | Ovid, Mary M Innes | Penguin | 1983 | 0-14-044058-5
The Golden Ass | Lucius Apuleius, Robert Graves | Penguin | 1950 |
The Bhagavad Gita | unknown, Juan Mascaro | Penguin | 1987 | 0-14-044121-2
The Upanishads | unknown, Juan Mascaro | Penguin | 1987 | 0-14-044163-8
The Tale Of Genji | Murasaki Shikibu, Edward G Seidensticker | Penguin | 1981 | 0-14-044390-8
Le Morte D'Arthur Volume 1 | Sir Thomas Mallory | Penguin | 1987 | 0-14-043043-1
Le Morte D'Arthur Volume 2 | Sir Thomas Mallory | Penguin | 1986 | 0-14-043044-X
The Quest Of The Holy Grail | unknown, P M Matarasso | Penguin | 1971 | 14-044220-0
The Death Of King Arthur | unknown, James Cable | Penguin | 1978 | 0-14-044255-3
